cls,bin,pred,obs,n
MT,0.0,0.030687083902411236,0.0,41
MT,0.1,0.14050575289870368,0.3333333333333333,6
MT,0.2,0.24974166056154928,0.42857142857142855,7
MT,0.30000000000000004,0.3441832656880316,0.3,10
MT,0.4,0.4698305547294332,0.6666666666666666,6
MT,0.5,0.5420366207285978,0.6666666666666666,9
MT,0.6000000000000001,0.65745767884251,0.8181818181818182,11
MT,0.7000000000000001,0.7626690952036665,0.8181818181818182,11
MT,0.8,0.8584303920811297,1.0,22
MT,0.9,0.9617971612831746,0.9571428571428572,70
IT,0.0,0.037671463505164704,0.02586206896551724,116
IT,0.1,0.14231983237917337,0.14285714285714285,28
IT,0.2,0.23759708640254282,0.15384615384615385,13
IT,0.30000000000000004,0.3248133349933016,0.375,8
IT,0.4,0.4372034852587389,0.5714285714285714,7
IT,0.6000000000000001,0.6680180757994595,0.6666666666666666,6
IT,0.9,0.9502442944184498,1.0,5
MGCT,0.0,0.01589461975359932,0.0,121
MGCT,0.1,0.1342200450664759,0.0,18
MGCT,0.2,0.2536316735401383,0.0,8
MGCT,0.6000000000000001,0.6416693310839384,0.8,5
MGCT,0.8,0.8505503924258901,1.0,8
MGCT,0.9,0.9520995434639946,1.0,22
