stem,cat,solid_fraction
MT_001,MTs,0.3914968087296685
MT_002,MTs,0.024374735311513605
MT_003,MTs,0.1418283144996617
MT_004,MTs,0.24870843338426835
MT_005,MTs,0.011257813952823036
MT_006,MTs,0.36311227891289855
MT_007,MTs,0.06874852280784685
MT_008,MTs,0.24486647463750427
MT_009,MTs,0.4154303098461583
MT_010,MTs,0.23721532516648852
MT_011,MTs,0.3654172496948406
MT_012,MTs,0.2383479539956293
MT_013,MTs,0.5013247116228774
MT_014,MTs,0.399371616842659
MT_015,MTs,0.3121319796954315
MT_016,MTs,0.22581029551954243
MT_017,MTs,0.4398189218807076
MT_018,MTs,0.5177686882657014
MT_019,MTs,0.1356975413163448
MT_020,MTs,0.1434537424528995
MT_021,MTs,0.73109375
MT_022,MTs,0.24097581240768096
MT_023,MTs,0.36141853932584267
MT_024,MTs,0.44920916856973697
MT_025,MTs,0.34625860227624605
MT_026,MTs,0.7230898369166525
MT_027,MTs,0.30653793103448274
MT_028,MTs,0.5481129733480162
MT_029,MTs,0.2757555991758208
MT_030,MTs,0.27591655949202104
MT_031,MTs,0.3037530307687054
MT_032,MTs,0.4416935933147632
MT_033,MTs,0.2672989505583927
MT_034,MTs,0.06895539529800353
MT_035,MTs,0.37043042755393174
MT_036,MTs,0.2623900515620261
MT_037,MTs,0.31389592725816584
MT_038,MTs,0.5355597470320648
MT_039,MTs,0.07058713537771129
MT_040,MTs,0.13298626025898752
MT_041,MTs,0.021651803647465252
MT_042,MTs,0.07657661182005722
MT_043,MTs,0.11652136804243127
MT_044,MTs,0.06754338660653005
MT_045,MTs,0.8330337042687807
MT_046,MTs,0.19997812720246919
MT_047,MTs,0.4290319331117155
MT_048,MTs,0.11709691683395357
MT_049,MTs,0.31572623235171565
MT_050,MTs,0.3856936630644487
MT_051,MTs,0.2406496062992126
MT_052,MTs,0.1622573074461276
MT_053,MTs,0.19314340149316556
MT_054,MTs,0.043663977218794496
MT_055,MTs,0.4392263246899662
MT_056,MTs,0.09305064782096584
MT_057,MTs,0.7336095124477248
MT_058,MTs,0.7144010043041606
MT_059,MTs,0.0768695652173913
MT_060,MTs,0.5923620161634875
MT_061,MTs,0.2839443377661729
MT_062,MTs,0.7255479488404182
MT_063,MTs,0.2048780487804878
MT_064,MTs,0.19054110133834395
MT_065,MTs,0.09381198419033772
MT_066,MTs,0.2539308824521808
MT_067,MTs,0.6415050784856879
MT_068,MTs,0.14664960417529202
MT_069,MTs,0.3615206001030507
MT_070,MTs,0.47257319893240723
MT_071,MTs,0.3309270081356709
MT_072,MTs,0.5754725432231479
MT_073,MTs,0.5225356991647743
MT_074,MTs,0.5981547924141466
MT_075,MTs,0.6101335125208553
MT_076,MTs,0.46924774045634426
MT_077,MTs,0.7052665184174024
MT_078,MTs,0.6654885001316941
MT_079,MTs,0.49411764705882355
MT_080,MTs,0.8203567902193328
MT_081,MTs,0.8962140824853254
MT_082,MTs,0.4770105133806663
MT_083,MTs,0.49500043543317684
MT_084,MTs,0.8842777334397446
MT_085,MTs,0.5553604139519952
MT_086,MTs,0.45335029686174727
MT_087,MTs,0.10899916311555415
MT_088,MTs,0.36054868026328396
MT_089,MTs,0.17826673320738126
MT_090,MTs,0.25413397478684685
MT_091,MTs,0.23281336059813748
MT_092,MTs,0.1657243938815858
MT_093,MTs,0.14283843995339238
MT_094,MTs,0.5785085687818434
MT_095,MTs,0.3673252630732088
MT_096,MTs,0.6143255558174248
MT_097,MTs,0.6935811338435108
MT_098,MTs,0.10039915055425223
MT_099,MTs,0.055985082120060245
MT_100,MTs,0.6558065286524127
MT_101,MTs,0.2304758746476538
MT_102,MTs,0.39370843607561834
MT_103,MTs,0.5189507461291629
MT_104,MTs,0.22506077760352597
MT_105,MTs,0.7191560923406207
MT_106,MTs,0.37440742091348345
MT_107,MTs,0.4608318240409875
MT_108,MTs,0.21459015072755103
MT_109,MTs,0.5335109791884508
MT_110,MTs,0.8018232263178755
MT_111,MTs,0.4850498338870432
MT_112,MTs,0.08939661986675199
MT_113,MTs,0.4203171242544279
MT_114,MTs,0.12807250221043323
MT_115,MTs,0.29380158625441644
MT_116,MTs,0.7866760575050752
MT_117,MTs,0.8967275494672755
MT_118,MTs,0.41125854443104143
MT_119,MTs,0.1406057937512613
MT_120,MTs,0.036585365853658534
MT_121,MTs,0.3482857096496779
MT_122,MTs,0.13885051375538615
MT_123,MTs,0.5048020268677822
MT_124,MTs,0.6779324055666004
MT_125,MTs,0.3651216480198899
MT_126,MTs,0.11358885017421602
MT_127,MTs,0.14514894268556167
MT_128,MTs,0.514811942613416
MT_129,MTs,0.08897541577781
MT_130,MTs,0.375609756097561
MT_131,MTs,0.9790440970471228
MT_132,MTs,0.12277201921219229
MT_133,MTs,0.25186126747775556
MT_134,MTs,0.214653203253421
MT_135,MTs,0.6379952063535825
MT_136,MTs,0.1505620266291365
MT_137,MTs,0.6291696540326402
MT_138,MTs,0.7190885809967824
MT_139,MTs,0.6575470768017352
MT_140,MTs,0.44712173000778366
MT_141,MTs,0.5270751679731243
MT_142,MTs,0.883499466002136
