feature,importance,std,family
original_firstorder_90Percentile,0.021761658031088083,0.006471500516475006,original_firstorder
wavelet-LLH_glcm_ClusterShade,0.011917098445595886,0.0052071894409952794,wavelet-LLH_glcm
original_firstorder_Median,0.011917098445595875,0.005207189440995261,original_firstorder
original_firstorder_Mean,0.01088082901554407,0.004303950188040443,original_firstorder
wavelet-LLL_gldm_DependenceVariance,0.008290155440414537,0.004748783103581198,wavelet-LLL_gldm
original_shape_Sphericity,0.007772020725388629,0.005309300915004992,original_shape
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.00725388601036272,0.0034369168811973177,wavelet-HLH_glrlm
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.00725388601036272,0.002538331339671696,wavelet-LLH_glrlm
wavelet-HLH_glcm_MaximumProbability,0.006735751295336811,0.0023743915517905993,wavelet-HLH_glcm
wavelet-LLH_glcm_ClusterTendency,0.006735751295336811,0.0046632124352331775,wavelet-LLH_glcm
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.006735751295336811,0.0023743915517905993,log-sigma-1-0-mm-3D_glszm
wavelet-LLH_firstorder_Uniformity,0.005699481865284994,0.0015544041450777258,wavelet-LLH_firstorder
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.005699481865284994,0.00362694300518136,log-sigma-5-0-mm-3D_glszm
wavelet-LHL_glcm_Imc1,0.005699481865284994,0.0015544041450777258,wavelet-LHL_glcm
wavelet-LLH_glcm_ClusterProminence,0.005699481865284994,0.004303950188040469,wavelet-LLH_glcm
wavelet-LHL_firstorder_Skewness,0.005181347150259086,0.00327697166856828,wavelet-LHL_firstorder
wavelet-HLL_firstorder_Mean,0.005181347150259086,0.0023171688886008267,wavelet-HLL_firstorder
wavelet-LLH_firstorder_Entropy,0.005181347150259086,0.0,wavelet-LLH_firstorder
wavelet-LLH_glcm_SumEntropy,0.005181347150259086,0.0,wavelet-LLH_glcm
